,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,La Libertad,EC,70.3,overcast clouds,-2.2333,-80.9,Hotel Mar Caribe
484,Sri Aman,MY,84.25,scattered clouds,1.2376,111.4621,Mega Inn
492,Mareeba,AU,80.47,heavy intensity rain,-17.0,145.4333,The Gateway Hotel
494,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
503,Tripoli,LY,72.25,overcast clouds,32.8752,13.1875,الاصيل
510,Gizo,SB,83.32,moderate rain,-8.103,156.8419,Gizo Hotel
522,Antalaha,MG,81.32,few clouds,-14.9003,50.2788,Hôtel Florida
531,Banjar,ID,88.63,overcast clouds,-8.19,114.9675,Villa Banjar Beach
533,Hirara,JP,75.47,broken clouds,24.8,125.2833,古謝そば屋
536,Sinnamary,GF,76.55,overcast clouds,5.3833,-52.95,Hôtel du fleuve
543,Taunggyi,MM,71.92,clear sky,20.7833,97.0333,Golden Island Cottages
544,Salalah,OM,80.69,clear sky,17.0151,54.0924,Muscat International Hotel
560,Ambovombe,MG,79.45,clear sky,-25.1667,46.0833,La source
576,Pemangkat,ID,83.28,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
583,Iguatu,BR,76.95,scattered clouds,-6.3594,-39.2986,Hotel Exposição
584,Chiredzi,ZW,75.69,clear sky,-21.05,31.6667,Nesbitt Arms Hotel
586,Lop Buri,TH,87.91,broken clouds,14.7981,100.654,Lopburi Inn Hotel
590,Mormugao,IN,79.86,scattered clouds,15.4,73.8,Hotel Rukhmini
594,Wagga Wagga,AU,82.85,clear sky,-35.1167,147.3667,The Astor
596,San Pedro,PH,85.35,light rain,14.35,121.0167,Hotel Takara
599,Manikganj,BD,80.58,broken clouds,23.8553,90.0125,City Hotel
600,Sulangan,PH,79.99,overcast clouds,11.1373,123.7228,Marion's Inn
602,San Miguel,SV,73.08,broken clouds,13.4833,-88.1833,Continental Plaza Hotel
606,Oistins,BB,72.52,few clouds,13.0667,-59.5333,The Abidah By Accra
611,Cartagena,CO,74.82,clear sky,10.3997,-75.5144,Hotel Bellamar
617,Amli,IN,81.0,few clouds,20.2833,73.0167,Lotus Kamat Resort
621,Mayumba,GA,76.1,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
630,Vao,NC,79.65,clear sky,-22.6667,167.4833,Nataiwatch
