City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
364,Gonzalez,US,30.5816,-87.2914,63.48,95,0,0.0,mist
365,Safaga,EG,26.7292,33.9365,69.71,38,0,10.2,clear sky
366,Puke,AL,42.0444,19.8997,52.86,86,100,2.55,overcast clouds
367,Catuday,PH,16.2923,119.8062,80.24,72,100,23.17,overcast clouds
368,Tiznit,MA,29.5833,-9.5,57.69,92,100,2.13,overcast clouds
369,Tazovskiy,RU,67.4667,78.7,-18.51,97,45,8.3,scattered clouds
370,Luganville,VU,-15.5333,167.1667,84.07,73,99,5.79,moderate rain
371,Mbanza-Ngungu,CD,-5.25,14.8667,66.79,97,94,1.5,overcast clouds
372,Anchorage,US,61.2181,-149.9003,12.25,75,0,9.22,clear sky
373,Kokkola,FI,63.8385,23.1307,22.93,95,75,8.05,broken clouds
374,Rennes,FR,48.1667,-1.6667,24.84,100,2,3.44,mist
375,Gelnhausen,DE,50.2,9.1833,32.2,91,95,3.83,overcast clouds
376,Sanchor,IN,24.7553,71.7722,77.76,19,0,0.94,clear sky
377,Yangambi,CD,0.8102,24.4336,70.34,93,100,1.68,overcast clouds
378,Dutlwe,BW,-23.9833,23.9,73.02,58,2,13.38,clear sky
379,Necochea,AR,-38.5473,-58.7368,57.63,69,0,7.76,clear sky
380,Nyurba,RU,63.2842,118.3319,-12.24,97,100,3.87,overcast clouds
381,Mandeville,JM,18.0417,-77.5071,62.33,93,6,4.47,clear sky
382,Lyuban,BY,52.7985,28.0048,31.1,99,100,11.16,snow
383,Agadez,NE,19.75,10.25,61.12,22,0,7.47,clear sky
384,Berlevag,NO,70.8578,29.0864,17.55,79,20,14.97,light snow
385,Nogliki,RU,51.8333,143.1667,10.89,82,99,7.36,overcast clouds
386,Te Anau,NZ,-45.4167,167.7167,60.13,78,96,3.13,light rain
387,Kysyl-Syr,RU,63.8986,122.7617,-21.91,98,100,4.43,overcast clouds
388,Miranda,CO,3.2499,-76.2281,64.53,94,90,3.44,overcast clouds
389,Pochutla,MX,15.7432,-96.4661,71.82,67,3,3.94,clear sky
390,Bilma,NE,18.6853,12.9164,63.01,21,0,4.25,clear sky
391,Dudinka,RU,69.4058,86.1778,-26.07,99,26,5.44,scattered clouds
392,Camopi,GF,3.1655,-52.3158,70.36,99,83,2.17,broken clouds
393,Novaya Igirma,RU,57.1334,103.9112,12.2,89,100,10.67,overcast clouds
394,Auki,SB,-8.7676,160.7034,83.01,77,99,3.13,overcast clouds
395,Darab,IR,28.7519,54.5444,56.5,47,86,1.9,overcast clouds
396,Kojori,GE,41.6594,44.7025,26.1,85,24,1.19,few clouds
397,Pangkalanbuun,ID,-2.6833,111.6167,87.4,61,98,4.92,overcast clouds
398,Novokizhinginsk,RU,51.6115,109.5917,13.53,57,23,6.64,few clouds
399,Santiago Del Estero,AR,-27.7951,-64.2615,85.03,54,99,4.16,overcast clouds
400,Sola,VU,-13.8833,167.55,82.22,69,97,0.83,moderate rain
401,Saint Anthony,US,45.0205,-93.218,32.22,86,100,13.8,overcast clouds
402,Tulagi,SB,-9.0996,160.1476,83.03,73,98,8.05,overcast clouds
403,Bohodukhiv,UA,50.1647,35.5276,36.9,99,100,7.38,overcast clouds
404,Aykhal,RU,66.0,111.5,-29.33,100,99,6.62,overcast clouds
405,Kurumkan,RU,54.3,110.3,13.73,79,77,3.62,broken clouds
406,Rio Brilhante,BR,-21.8019,-54.5464,74.48,85,96,5.08,overcast clouds
407,Orlik,RU,52.5178,99.825,-2.36,64,7,1.28,clear sky
408,Gat,IL,31.61,34.7642,57.4,69,0,1.43,clear sky
409,Ixtapa,MX,20.7,-105.2,78.03,83,100,3.44,overcast clouds
410,Verkhnevilyuysk,RU,63.4453,120.3167,-13.76,98,100,3.65,overcast clouds
411,Makakilo City,US,21.3469,-158.0858,75.52,65,0,19.57,clear sky
412,Dwarka,IN,22.2394,68.9678,78.1,43,0,15.01,clear sky
413,San Juan,AR,-31.5375,-68.5364,84.31,31,6,20.67,clear sky
414,Saint-Georges,GD,12.0564,-61.7485,73.96,74,90,4.54,overcast clouds
415,Pandrup,DK,57.2215,9.6757,28.94,86,75,4.61,broken clouds
416,Laguna,US,38.421,-121.4238,52.09,85,100,4.61,overcast clouds
417,Samarai,PG,-10.6167,150.6667,85.33,71,85,5.55,overcast clouds
418,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,88,0,3.44,clear sky
419,Ranong,TH,9.9658,98.6348,84.13,67,99,2.1,overcast clouds
420,Zhigansk,RU,66.7697,123.3711,-22.56,96,100,6.55,overcast clouds
421,Sijunjung,ID,-0.6876,100.9537,85.91,63,89,1.57,overcast clouds
422,Ponta Do Sol,PT,32.6667,-17.1,69.01,81,100,3.89,overcast clouds
423,Urdoma,RU,61.7533,48.5442,13.62,93,100,6.73,overcast clouds
424,Praia,CV,14.9215,-23.5087,73.94,78,20,12.66,few clouds
425,Rivadavia,AR,-33.1905,-68.4608,79.56,37,0,13.98,clear sky
426,Vanavara,RU,60.34,102.2797,5.43,93,100,7.83,overcast clouds
427,Coquimbo,CL,-29.9533,-71.3436,62.33,100,100,5.75,overcast clouds
428,Bani Walid,LY,31.7566,13.9942,67.73,31,70,16.04,broken clouds
429,Shelburne,CA,44.0787,-80.2041,23.76,86,2,10.45,clear sky
430,Celestun,MX,20.8667,-90.4,74.68,71,1,14.79,clear sky
431,Brigantine,US,39.4101,-74.3646,37.99,71,0,5.75,clear sky
432,Deniliquin,AU,-35.5333,144.9667,81.86,21,11,2.59,few clouds
433,Iqaluit,CA,63.7506,-68.5145,-6.07,77,40,17.27,scattered clouds
434,Aktash,RU,50.3,87.7333,4.62,92,100,3.0,light snow
435,Yukamenskoye,RU,57.8865,52.2416,15.82,94,100,12.77,light snow
436,Kavaratti,IN,10.5669,72.642,81.25,66,78,14.23,broken clouds
437,Duobao,CN,30.67,112.6895,59.79,35,6,13.65,clear sky
438,Tura,IN,25.5198,90.2201,74.44,45,4,2.24,clear sky
439,Koslan,RU,63.4564,48.8989,-2.63,95,92,7.36,overcast clouds
440,Foshan,CN,23.0268,113.1315,69.84,41,32,12.01,scattered clouds
441,Arroyo,ES,41.6096,-4.7969,42.15,86,100,8.05,overcast clouds
442,Jacareacanga,BR,-6.2222,-57.7528,73.89,82,82,0.45,broken clouds
