City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Dukat,RU,2022-12-08 23:05:52,62.55,155.55,-14.64,89,100,4.29
101,Kassala,SD,2022-12-08 23:05:52,15.451,36.4,73.65,71,0,9.98
102,New Norfolk,AU,2022-12-08 23:05:53,-42.7826,147.0587,56.7,71,86,3.49
103,Luderitz,NA,2022-12-08 23:05:53,-26.6481,15.1594,61.05,90,0,8.1
104,Sao Felix Do Xingu,BR,2022-12-08 23:05:54,-6.6447,-51.995,77.59,75,83,3.31
105,Effingham,US,2022-12-08 23:05:54,32.3669,-81.3332,75.15,90,80,2.59
106,Nacala,MZ,2022-12-08 23:05:54,-14.5428,40.6728,74.79,88,63,2.35
107,Presidencia Roque Saenz Pena,AR,2022-12-08 23:05:55,-26.7852,-60.4388,93.04,36,94,9.57
108,Port Alfred,ZA,2022-12-08 23:05:55,-33.5906,26.891,74.17,95,100,4.0
109,Belaya Gora,RU,2022-12-08 23:05:56,68.5333,146.4167,-39.75,100,98,2.17
110,Karwar,IN,2022-12-08 23:05:56,14.8,74.1333,72.03,48,100,7.36
111,Busselton,AU,2022-12-08 23:05:57,-33.65,115.3333,59.99,62,35,3.56
112,Chulman,RU,2022-12-08 23:05:57,56.8479,124.9104,1.26,93,100,9.24
113,Butaritari,KI,2022-12-08 23:05:57,3.0707,172.7902,81.66,77,89,16.64
114,Chuy,UY,2022-12-08 23:05:58,-33.6971,-53.4616,71.87,79,0,6.96
115,Weiser,US,2022-12-08 23:05:58,44.251,-116.9693,28.87,84,89,1.99
116,Saldanha,ZA,2022-12-08 23:05:59,-33.0117,17.9442,66.58,88,51,9.17
117,Caravelas,BR,2022-12-08 23:05:59,-17.7125,-39.2481,74.05,96,41,9.42
118,Vineland,US,2022-12-08 23:05:02,39.4862,-75.0257,48.65,65,0,9.22
119,Vila Franca Do Campo,PT,2022-12-08 23:05:59,37.7167,-25.4333,59.41,85,59,6.8
120,Saskylakh,RU,2022-12-08 23:06:00,71.9167,114.0833,-6.47,97,100,12.15
121,Konotop,UA,2022-12-08 23:06:00,51.2403,33.2026,29.55,95,57,7.45
122,Narsaq,GL,2022-12-08 23:06:01,60.9167,-46.05,20.25,75,100,6.73
123,Aykhal,RU,2022-12-08 23:06:02,66.0,111.5,-18.58,94,99,4.56
124,Isangel,VU,2022-12-08 23:06:03,-19.55,169.2667,86.11,74,75,6.91
125,Banapur,IN,2022-12-08 23:06:03,19.7833,85.1833,65.52,43,95,5.48
126,Birao,CF,2022-12-08 23:06:04,10.2849,22.7882,67.95,18,100,6.24
127,Ilulissat,GL,2022-12-08 23:06:05,69.2167,-51.1,44.62,36,100,14.97
128,Sinop,TR,2022-12-08 23:06:05,41.7711,34.8709,44.92,68,59,9.69
129,Darnah,LY,2022-12-08 23:06:05,32.767,22.6367,63.97,83,5,10.18
130,Sao Joao Da Barra,BR,2022-12-08 23:05:10,-21.6403,-41.0511,75.29,89,16,5.88
131,Bambous Virieux,MU,2022-12-08 23:06:06,-20.3428,57.7575,77.25,83,75,11.5
132,Calvia,ES,2022-12-08 23:06:07,39.5657,2.5062,62.2,87,100,10.58
133,Alice,US,2022-12-08 23:06:07,27.7523,-98.0697,78.96,70,20,16.11
134,Tevaitoa,PF,2022-12-08 23:06:09,-16.7833,-151.5,80.76,71,91,12.75
135,Wamba,NG,2022-12-08 23:06:09,8.9333,8.6,72.21,22,12,4.43
136,Walvis Bay,NA,2022-12-08 23:06:10,-22.9575,14.5053,60.1,82,0,11.32
137,Tabou,CI,2022-12-08 23:06:10,4.423,-7.3528,78.69,83,9,7.18
138,Azul,AR,2022-12-08 23:06:11,-36.777,-59.8585,85.33,15,0,7.18
139,Ribeira Grande,PT,2022-12-08 23:06:11,38.5167,-28.7,59.77,82,73,11.01
140,Siyabuswa,ZA,2022-12-08 23:07:12,-25.1132,29.0445,70.92,76,88,7.56
141,Vila Velha,BR,2022-12-08 23:07:13,-20.3297,-40.2925,75.15,87,75,6.91
142,Lubao,PH,2022-12-08 23:07:13,14.9167,120.55,77.27,83,100,3.22
143,Havre-Saint-Pierre,CA,2022-12-08 23:07:14,50.2334,-63.5986,37.76,100,100,8.05
144,Kasongo-Lunda,CD,2022-12-08 23:07:14,-6.4667,16.8167,68.88,97,89,1.34
145,Alyangula,AU,2022-12-08 23:07:15,-13.8483,136.4192,84.94,62,92,10.45
146,Vardo,NO,2022-12-08 23:07:16,70.3705,31.1107,31.98,74,75,28.77
147,Bathurst,AU,2022-12-08 23:07:17,-33.4166,149.5806,58.96,58,4,1.01
148,Kathu,TH,2022-12-08 23:07:17,7.9178,98.3332,75.02,85,100,10.92
149,Longyearbyen,SJ,2022-12-08 23:07:18,78.2186,15.6401,21.04,79,75,8.05
150,College,US,2022-12-08 23:07:19,64.8569,-147.8028,17.58,87,100,5.75
151,Lishui,CN,2022-12-08 23:07:20,28.4604,119.9103,52.63,95,85,1.99
152,Tilichiki,RU,2022-12-08 23:07:20,60.4667,166.1,16.41,84,100,6.58
153,Sanary-Sur-Mer,FR,2022-12-08 23:07:22,43.1178,5.8001,54.54,91,100,7.0
154,Cape Town,ZA,2022-12-08 23:05:00,-33.9258,18.4232,76.37,61,26,5.99
155,Zaqatala,AZ,2022-12-08 23:07:23,41.6336,46.6433,36.07,87,100,0.0
156,La Ronge,CA,2022-12-08 23:07:23,55.1001,-105.2842,-0.89,88,57,10.42
157,Pisco,PE,2022-12-08 23:07:24,-13.7,-76.2167,69.03,83,89,5.75
158,Alekseyevsk,RU,2022-12-08 23:07:25,57.8406,108.3492,8.85,94,100,13.04
159,Codrington,AU,2022-12-08 23:07:25,-38.2667,141.9667,55.8,60,100,7.07
160,Hugo,US,2022-12-08 23:07:26,45.16,-92.9933,28.35,79,75,5.75
161,Rafaela,AR,2022-12-08 23:07:27,-31.2503,-61.4867,98.64,21,46,7.74
162,Bahia Honda,CU,2022-12-08 23:07:27,22.9036,-83.1592,75.69,69,3,12.17
163,Mbaiki,CF,2022-12-08 23:07:28,3.8678,17.9892,69.62,92,99,1.95
164,Port Lincoln,AU,2022-12-08 23:07:28,-34.7333,135.8667,62.35,64,79,19.37
165,Halifax,CA,2022-12-08 23:03:57,44.6453,-63.5724,49.68,97,100,3.0
166,Serenje,ZM,2022-12-08 23:07:29,-13.2325,30.2352,62.24,92,74,3.22
167,Grand Gaube,MU,2022-12-08 23:07:29,-20.0064,57.6608,77.4,77,18,1.99
168,Zimmi,SL,2022-12-08 23:07:30,7.3153,-11.3061,74.46,96,18,1.72
169,Avarua,CK,2022-12-08 23:07:30,-21.2078,-159.775,82.45,83,20,6.91
170,Karratha,AU,2022-12-08 23:07:30,-20.7377,116.8463,79.79,43,0,14.18
171,Arawa,PG,2022-12-08 23:07:31,-6.2132,155.5367,79.61,90,100,4.43
